path,filename,model,mode,trace_model,line_id,section,replaced,replacement_reason,raw_question,normalized_question
/home/baunilha/Repositories/xai-playground/logs/2026-04-30/2026-04-30T125802531033Z_zero-shot-trace_6da03dc2.json,2026-04-30T125802531033Z_zero-shot-trace_6da03dc2.json,llama-3.1-8b-instant,zero-shot+trace,heitor2,explanation_1,EXPLANATION,False,,Does the explanation say food is rancid?,Does the explanation say food is rancid?
/home/baunilha/Repositories/xai-playground/logs/2026-04-30/2026-04-30T125802531033Z_zero-shot-trace_6da03dc2.json,2026-04-30T125802531033Z_zero-shot-trace_6da03dc2.json,llama-3.1-8b-instant,zero-shot+trace,heitor2,explanation_2,EXPLANATION,False,,Does the explanation say service is poor?,Does the explanation say service is poor?
/home/baunilha/Repositories/xai-playground/logs/2026-04-30/2026-04-30T125804318101Z_3-shot-trace_966ce628.json,2026-04-30T125804318101Z_3-shot-trace_966ce628.json,llama-3.1-8b-instant,3-shot+trace,heitor2,explanation_1,EXPLANATION,False,,Does the explanation say food is rancid?,Does the explanation say food is rancid?
/home/baunilha/Repositories/xai-playground/logs/2026-04-30/2026-04-30T125804318101Z_3-shot-trace_966ce628.json,2026-04-30T125804318101Z_3-shot-trace_966ce628.json,llama-3.1-8b-instant,3-shot+trace,heitor2,explanation_2,EXPLANATION,False,,Does the explanation say service is poor?,Does the explanation say service is poor?
/home/baunilha/Repositories/xai-playground/logs/2026-04-30/2026-04-30T125806245752Z_3-shot-trace-with-model-rulebase_c969ed2e.json,2026-04-30T125806245752Z_3-shot-trace-with-model-rulebase_c969ed2e.json,llama-3.1-8b-instant,3-shot+(trace with model rulebase),heitor2,explanation_1,EXPLANATION,False,,Does the explanation say food is rancid?,Does the explanation say food is rancid?
/home/baunilha/Repositories/xai-playground/logs/2026-04-30/2026-04-30T125806245752Z_3-shot-trace-with-model-rulebase_c969ed2e.json,2026-04-30T125806245752Z_3-shot-trace-with-model-rulebase_c969ed2e.json,llama-3.1-8b-instant,3-shot+(trace with model rulebase),heitor2,explanation_2,EXPLANATION,False,,Does the explanation say service is poor?,Does the explanation say service is poor?
/home/baunilha/Repositories/xai-playground/logs/2026-04-30/2026-04-30T125808317789Z_zero-shot-trace_26536a88.json,2026-04-30T125808317789Z_zero-shot-trace_26536a88.json,llama-3.1-8b-instant,zero-shot+trace,heitor2,explanation_1,EXPLANATION,False,,Does the explanation say food is okay?,Does the explanation say food is okay?
/home/baunilha/Repositories/xai-playground/logs/2026-04-30/2026-04-30T125808317789Z_zero-shot-trace_26536a88.json,2026-04-30T125808317789Z_zero-shot-trace_26536a88.json,llama-3.1-8b-instant,zero-shot+trace,heitor2,explanation_2,EXPLANATION,False,,Does the explanation say service is good?,Does the explanation say service is good?
/home/baunilha/Repositories/xai-playground/logs/2026-04-30/2026-04-30T125810465420Z_3-shot-trace_fa5615c9.json,2026-04-30T125810465420Z_3-shot-trace_fa5615c9.json,llama-3.1-8b-instant,3-shot+trace,heitor2,explanation_1,EXPLANATION,False,,Does the explanation say food is okay?,Does the explanation say food is okay?
/home/baunilha/Repositories/xai-playground/logs/2026-04-30/2026-04-30T125810465420Z_3-shot-trace_fa5615c9.json,2026-04-30T125810465420Z_3-shot-trace_fa5615c9.json,llama-3.1-8b-instant,3-shot+trace,heitor2,explanation_2,EXPLANATION,False,,Does the explanation say service is good?,Does the explanation say service is good?
